text,label
"그게 참 어려운 거였군요.. 
제가 늦덕이라 이번에 첨으로 앨범 구매했는데 
지민이 엽서 1장. 지민이 포카 3장 나와서 엄~청 
행복했었거든요..
어떤님이 저보고 금손이라고 부러워하셨었는데.. 
제가 복받은게 맞군요..
@BTS_twtpic.twitter.com/tkxbWvZJ40",fear
언괄 하나하나 다 하기 귀찮은데... 블언블 해달라고 햇는데 꼭 언괄하는 사람들이 있어요 (ಠ_ರ)(ಠ_ರ),fear
오늘까지 맞괄 안해주신분은 언괄할께요,sad
헐..울 언냐 500괄 완전 축하해 우린 쭉쭉 같이 ,happy
"인형으로 하고 싶은건 나름 다 해봐서, 지금이 취미의 안정기인지 휴지기인지 말기인지 모르겠지만 불길한 탈덕의 스멜이 아직 ‘트친님들 만나서 인놀하기’ 못 해봐서 탈덕 못한다",fear
하아??? 뭐라구요..??? ,angry
"요즘은 자해 안해요, 자살하려했지만 실패,,",sad
벌써부터 서포트 준비하고 싶네여,sad
쥬라기랑 죠스 탔는데 죠스는 타지맠ㅋㅋㅋㅋㅋㅋㅋ 익스프레스 미리사서 갈꺼지? 진짜 절대타지마 블로그샛기덜 다 쳐맞아야대,angry
잘 생겼어요 ,fear
정환이~  pic.twitter.com/3om8gf6bNJ,sad
앜 아 청불이라 더 겁나는데ㅠ▽ㅠㅜㅜㅠㅠ 으으 평점후기들 보니까 더더 궁금해졌네요 저같은 심장쪼렙이 볼 수 있는 거면 좋겠어요,sad
샘들 얘가 자꾸 까불어오,angry
!!!!!!! 티카님!!!!! 예에ㅔㅔ!!!!!!!! 적어두겠슴니다!!!,happy
ㅜㅜㅜㅜㅜ 진짜 얼마나 바쁘면 책읽을 시간도 안생겨요...,sad
ㅠㅠㅠㅜ등급으로 차별하시는 건가... 오구님 진짜 속상하시겠어요.. 수학쌤 너무햇ㅅ..,sad
가지말라구우,sad
10대 여고생인데 저의 동년배는 다 빅을 좋아합니다,angry
"뉴욕갔다가, 또 파리  2월, LA 다녀온건 안비밀 상반기 지구 한바퀴반 엄마가 원래 노는 사람이 제일 바쁜거래 방탄하느라 참 바쁘다. 마치 석사 4기때.. 그 기분 근데 너무 행복해 @BTS_twt 방탄 안했으면 이 행복, 몰랐을꺼야 #BTS #BTSWorldTour #SpeakYourself pic.twitter.com/Oru8PdPGDs",happy
검찰이 영화 #더킹 에서처럼 묵히고있다가 적정시기에 터뜨릴려고 쌓아둔 사건들 있는지 털어봤으면 함.,angry
"원내대표할 인물이 이렇게 없었나? 이런 사람들이 후보로 올라오게...? 아우, 속터져.. 민주당은 내년 총선에서 승리하고 싶으면 후보 다시 내 놓으세요! 백년정당 말로만 하면 뭘합니까? 정작 행동은 망해먹으려고 기를 쓰는데.. 홍영표 원내 연임시켜요!!  @TheMinjoo_Krpic.twitter.com/dUJpKIyn8N",angry
분명 저번주에 백현이 봤는데 왜 또 벌써보고싶지,sad
팔로 전에 쪽지 드리려고 하는데 쪽지 보내니까  잠긴 표시 떠서 먼저 무멘팔 하고 갈게요 한번에 많이 팔로하면 틔터가 또 계정 잠근다는 말을 들어서 천천히 팔로할게요. . ..,sad
 알티 부탁드립니다,happy
"#ㅍㅏ워볼ㅅㅏㅇㅣ트


 http://betgaja.com  클-릭-가-입


#ㅍㅏ워볼배팅ㅅㅏㅇㅣ트





 pic.twitter.com/qmGQbgbsZ6",fear
ㅃ님 닫으셨어여??  맙소사..,fear
무승부했답니다  크흡,sad
"어제 술먹고 봐서 제대로 안적어서 다시 적을게요  반묘/부코/토요일/ 2번 3번 
저번 사진도 넘 잘 간직하고 있답니다 ",sad
이보시오 구우냥반!! 난 변사랑 같은 인생은 거부하오,angry
고생하셨어요푹쉬세요,happy
" 

호노카가 어제 말한 타월의 사용법
어때요 pic.twitter.com/MZnF7MGqLY",happy
우익씌. . . . .  넘 기분나븐것. . ....,angry
"#댓림 #폼림 #참림 #팬즈
모든 공방 관련 대리 진행합니다.        

전용 프로그램 사용
각종 공방 n번 경력 다수
선입금 없음 편하게 문의주세요

경력은 마음
#더쇼 #쇼챔 #엠카 #뮤뱅 #음중 #인가
#뉴이스트 #김동한 #엔플라잉 #박봄 #원더나인",happy
뭐여 밥상 치우고 오니까 실점했네,angry
ㅠㅠ여기 신발때문에 팔로해뒀는데 베이비라고 써진 신발도 베이비가 맞는지 모르겠네요..로리타..왜이리 지켜지지 못하는 건지,sad
헉 뭔가 반갑네융 쌤도 혹시 얼빠단이신가용,happy
헉 당연하죠 먼지라뇨 먼지가 저언혀 아니십니다 ,sad
" 홉이1 좋은 오후, 내 사랑!!!  사전 녹음은 어땠어? 재미 있었어? 나는 예 희망! 난 당신을보고 매우 흥분!!!
오늘 날씨가 끔찍하다... 덥고 습한, 바람이 없다 나는 그것이 내일 나아질 것을 바란다",fear
"진짜 어이털려서 증말...
갠봇이랑 몇일이예요... 
이러는 분을 알티했어요",angry
빨리 6시,fear
이젠 잘먹잘살.노조쟁의 없으니,angry
"D괜찮을까? 하며 웃는 우리 징구 징구 
징구야 너무 보고싶다 얼른 #절대그이 방송 했음 좋겠다 ฅ(⌯͒•̩̩̩́ ˑ̫ •̩̩̩̀⌯͒)ฅ  

#여진구 #YeoJingoopic.twitter.com/PCGOPhrbuw",sad
도랐나바요,angry
우미님은 선화 천재,sad
아닛헐리우드가아동대상으로일케잔인한장면을 씬이 끝나면 넘어가는 하수구 인트로컷에는 이거 어스 앤떰 부른 애기들 아닌가 싶은 크리피 테마곡이 나오지만 원곡은 Oranges and Lemons 라는 영국 칠드런쏭이며 그 가사는 처형에 관한 거라고 한다 뭐라고욬ㅋ ㅋㅋ pic.twitter.com/kALiUsKleX,fear
"어...근디 최애가 지민이셨나요
제가 잘 못봤나보네요ㅜㅜ
죄삼다..",fear
녭~,happy
너무 귀찮아지지 않으면 상관없겠지,happy
"#제목에서_한_글자만_바꿔도_내용이_산으로_간다

고독한 후플푸프",fear
얜 아베 시다바리 하는게 딱 ㅎㅎ,angry
"반정부적 발언을 주목조목 따져서
지위고하를 막론하고 검찰 처벌이 뒤따라야죠 
통진당 해산은 과연 민주주의 국가에서
나라가 정당을 강제로 해산 시키는게 맞느냐는
법적 논리로 헌법에 위배되느냐
아니냐 엄격히따져야할 문제 이구요",angry
"답이 없으셔서 다시 멘션 드립니당
구매가능하세요 어떤 물품 원하시나요?",happy
그거 냉동제품일수도..ㅜㅜ 냉동제품은 판매안하더라구요  재고남은거 냉동보관하고 서비스로 주는곳 제법많더라구여..!,fear
오늘 카레먹었는데 너무 맛있어서 또 먹고싶어 pic.twitter.com/4dEqldKQH4,sad
라쿤 주겨버린다...캬오오...,angry
ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 아닠 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ하......몸이 무겁슴다 하지만 내려가볼께요.....,sad
6) 인스타그램~~ @20haram03 맞팔해요!!,happy
"KBO가 항상 어린이날은 엘지랑 두산이랑 맞붙여놔여. 
어린이날 3연전 위닝시리즈 올해 포함해서 두산이 14번? 엘지가 7번? 아마도...췟..",angry
"헉
뭐
뭐라구요
괜찮으세요...?! 아니 괜찮을리가 없는데
나쁜쿠키다 세상에 병원은 갔다오셨나요...?!",fear
진짜 각성요정만 줄여줘도 꿈왕국 다시 달린다.....,sad
월급 들어오자마자 교통비가 나갔어..,sad
한 손으로 키보드 쳐야지 ,sad
"비ㅣ록 팬미팅ㅇ은 못가ㅣ지만 틋터로 영상올라올거 생각하면 행복하단
.^^ㅎ후ㅠ",happy
"#안전메이저토토추천ㅅ ㅏ이트
#ㅅㅏㄷㅏㄹㅣㅆㅏ이트 #ㅅㅏ설토토도박사이트
#ㅅㅏ설ㅁㅔㅇㅣㅈㅓ놀ㅇㅣㅌㅓ
#안전ㅅㅏ설토ㅌㅗ사ㅇㅣ트
#ㅅㅏ설ㅂㅐ팅사ㅇㅣ트

 http://nine-f1.com   

가입코뜨: Z Z 1 2 1 2

 첫충20% / 매충10% 


 pic.twitter.com/Z6lnS9MXMe",angry
ㅎㅏ... 가망이 없을수도있어요 ,fear
일일집사 너무 어렵따,fear
"웅ㅇ우라라카눈ㅠ̑̈ 애교라돈가아 모타눈데ㅔ시가락ㄱ키가 애교글시켜버려또-흥훙ㅇ너무해애ㅐ다움ㅁ에눈 우라라카가 절때로오이길꼬야아囧

시가라키 기억할끼다",sad
...  글쿤여 흑흑그때까지 욤뇸은 존버다!!!!!,sad
전화할 사람 ,sad
헉.. 트위터를 너무 띄엄띄엄 했나.. 임신하신 줄 몰랐어요. @.@ 뒤늦게나마 (혹은 좀 일찍?) 축하드려요. ,happy
대박 저만 아 노래 아는줄 알았어요,sad
호어얼ㄹㄹㅇㅎㅇ호엉!!!!! 대박 양일 체리!! 둘 다 너무너무 예뽀 ㅠㅠㅠㅜㅠㅜㅜ 양일 꼭 보쟈 유성이 체리 흑흑... ,sad
"#은비메일
늦잠잘 시간이 없는데 낮잠을 자려구용?ㅎㅎ
요즘엔 근황을 알 수가 없네요!
일본활동준비는 잘 되어가나봐요

한국팬들은 티켓팅에 희비가 많이 갈렸어요.. 저도 실패

아이즈원이 이렇게나 월클입니다
언제쯤 실물영접을 할 수 있을까요

밥 꼭 챙겨먹고 항상 건강조심! 알죠?",sad
슈벌 밥 잘 시켜먹고 카드 잃어버리기 있기없기  ,fear
안귀엽거드느으ㅡ으으응,angry
음악과 칠링을 좋아하는 분 제 탐라에 있으심미꺼? 아주 옛날옛적에 취향 맞는 분 있어서 지인이 주최하는 파티에서 오프를 한 적이 뙇! 한번 있고 그후론 읎...,sad
여러분들은 어떤 색이 더 좋으시나요!,happy
"너무 화가 나서 보다가 돌렸음다.우리 사랑하는 대통령 이야 무슨 말씀 하실지 다 아는 것이고 그 깊은 맘 고충 알기에...해야 할 질문에 화가  난 것이 아니고 매끄럽지 못한진행,추궁식 질문이 마땅치 않았죠.",angry
"엄청 기대하고 기다리고 있지
암쏘 피키피키피키",happy
왕겜 적중률 100퍼 양덕 스포글 봤는데 .... 빡침이 올라옴 갑분....,fear
"ME 29!!!!!!!!!!!!!!!!!!!
이번엔 반드시 다섯 권 산다",sad
알제 내자리하나쯤은 잇겟지 ....,sad
쪼아요,happy
"낙선해 버렸다
또 기회는 있겠지！！^^* pic.twitter.com/5jtMc1WjS6",sad
어머  이둘  pic.twitter.com/PZg0nqzStQ,happy
헐 짱조아여 저랑 같이 세상뜰때까지 트위터에 오래남아야해여 알것져 속☆박☆넴,sad
하 몸상태 진짜 별론데에.. 7시..,sad
"당시 어땠는지 유시민과 심재철이 현재
위치가 어디고 무엇을 추구하고 있는지 안봐도 비디오
심재철은 정부 기밀을 훔쳐서 발설하고
쌩까는 관음증 환자
게다가 골수 자한당 보수 쓰레기
이런자가 서울대 총학생회장 이었다니...
변절자 가 누군지 알수있고 누가 거짓말을 알수있어",angry
"함덕주 3구째가 스트라이크냐?
씨발놈아!",angry
"서코 일요일 플랜

밑에 버젼의 카즈키로 참여합니다!!
혹시 가시는 지인분들이 있다면 흔적남겨주세요! pic.twitter.com/Te3vTXtWrO",happy
뉼징님은 슬프면 안대여ㅠㅠㅠ저만 슬플꾸에염,sad
"#여주출장ㅁㅏㅅㅏㅈㅣ추천


카카오톡 : 『PAA4』

신용200퍼
출장힐링샾
#군산출장안마가격 #옥천출장샵최고
#영월출장만남가격 #청주출장전화번호
pic.twitter.com/mGC06IWFJI",angry
m_erlin@naver.com 으로 메일주세욥..!,happy
"#무주출장안마
#이천출장


까톡친추 : 【PAA4】

재방문율200퍼
출장힐링샵
전국24시운영

#구리출장걸추천
#진안콜걸ㄱㅏ격
 pic.twitter.com/ncstOxUkHr",angry
"

울트라맨도
",fear
"그렇소? .... 끄응, 사실 이건 말 안하려고 했는데. 어제 갑작스럽게 어지럼증을 느껴서 일을 끝내고 잠자리에 바로 들었다오. 이야기를 못해주어 미안하지만 그대가 걱정할 것이 눈에 보여서 그만.  아직 그 여파가 남은 모양이야.",sad
나는 계속 그리고... 그리고... 그리는 중...,fear
넹 좋은 밤 되세요,happy
가면 몸만 상하고 고생이란 고생은 전부 하고,sad
헉 알겠습니당 천천히 연락주세요!! 안팔릴 것 같긴 해요..^^^아크릴 그전에 받으면 구매하실 때 하나 넣어드릴게요!,happy
"ㅠㅠㅠㅠㅠㅠㅠ 감사합니다!! 용기를 얻고... . ....진행을
.... 그렇담... 한벌님께서 쿠우우루우우미이이ㅣㅇ 하시는 김에 ㅋㄹㄴㅁ까지 해주시자...",happy
화난다,angry
"뻘건거 하나 더있음.. 치파오는 너무컸다.. 나 동물인형용으로 주문한건가.. 슬프다 슬퍼
그리고 치파오 물 무섭도록 빠졌다 내새꾸입혀도 되냐고.. 아 옷장 정리도 해야하는데..또 한바탕 올테니 안입는옷들 정리해서 내놔야지..약도먹었고.. 얼른자자 일어나면 목이 나아있길.. pic.twitter.com/gojIryMI2D",sad
목소리랑 그림체랑 완전 닮았어,happy
진짜 팬미팅 끝나자마자 혐생 몰아치기 있냐 •• 팬미팅 여운 좀 느껴보자 ,angry
잠만.........꺅이가 너무 했다......... 꺅이 때문에 심장 후뚜루 맞았다.....,sad
맘편하게 좀 놀러다녔으면 어쨌든 서퀴에서 즐겁게 놀아봐요~~,angry
이렇게 말하니까 자꾸 마지막같은데 #빨간날_다음_초록날 통합하는 날 까지 단체로 총공을 하던 안하던 시티들을 위해서 열심히 할거에요 유유,angry
맞팔해써용 잘부탁드립니다!,happy
내일 정 배고프면 돌아오는 길에 이케부 마라탕 먹으러가야겠따....,fear
아니.. 제작자님 정말로 여기가 끝인겁니까요? 예??? 뭐 더 없는겁니까????????? pic.twitter.com/iljRHIKjw7,fear
"토니가 페퍼를 얼마나 사랑하는지
정말 다 보여주는 초반부였죠...",sad
네...? 저게요..?  달아님이 발로쓴글씨체 쥬세여 저는 저것보댜 아주 마뉘 판이여서....그 글씨체 납치할럐여,fear
눈 뜨자마자 씨엠 봤는데 미친거아녀 윳케생일기획만 딥디로 나오는 줄 알았더니 그게 아니고 그 푸드스튜디오에서 따로 찍은거야?? 안그래도 컵라면 기획 그냥 소소한 노잼이어서 이거 딥디화하면 재밌나했더니ㅠㅠㅠㅠㅠㅠㅠㅜㅠ요리사옷 입고 직접 요리라니 뭘 좀 아네 씨사이드상요ㅠㅠㅠ,fear
꽃범님......,sad
저는 마라탕은 처돌이인데 아직 #행복했으면_그걸로도_좋아 마라샹궈는 안먹어봤어요 마라탕집가면 마라탕에 정신팔려가지구 흐흐,angry
울지마,sad
매운거 짱좋아하는 동그리표 청양고추 알리오 올리오! 매운거 좋아하신다면 강추합니다 pic.twitter.com/l2nj2ogzao,happy
맞아요 우리 총공즈니들 진짜루 #빨간날_다음_초록날 이렇게 열정적이고 부지런한 사람 본적없어요 유유 두 달 가까이 유유유,angry
흐하 ㅠㅠㅠㅠ 진짜 이번주 너무 혐생이 빡세서..........말할틈이 없었어여 ㅠㅠㅠ 그냥 결재를 올렸어야 했는데 ㅠㅠㅠ 내일 질러 보려구요  안되면 퇴사각오 하고 ㅋㅋㅋㅋㅋㅋㅋㅋ그냥 수욜에 일단 꼭 빠지고 가는 걸로 ㅠㅠㅠ 디디 언제 다시 올지도 모르는데 배웅은 해줘야죠,sad
죽혼죽!!!! 임뫄!!!! ,angry
근데 그러면서도 시선은 계속 핸드폰 화면에 고정되어 있어서 심통난 카이토 특기를 살려 재빠르게 핸드폰 쏙 낚아채서 순식간에 사라지게 만듦. 신이치는 눈 깜빡하니 사라져있는 폰에 아진짜쿠로바카이토 돼서 드디어 카이토 좀 쳐다보니까 카이토 싱글싱글 웃으며,angry
존잘님!!!!!왜이러세요!!!!!!<환장!,sad
감사합니다,happy
그정도를 밋밋이라니...욕심쟁이시구나.,sad
도움이 됐다면 다행이네...,happy
" 
N님 안녕하세요!! 트친소 흔적 남겨주셔서 찾아왔습니다
앞으로 잘 부탁드려요!",happy
킬미나우 서영주 아름다운세상에 동수!선호담임쌤이랑 더블이네여,fear
저두요,sad
미나티님 밤샘과제 트윗보고 왠지모르게 같이 (혼자) 맘속으로 으쌰으쌰 좀만 힘내요 내적응원 했는데 같이 허탈...ㅠㅠㅠ힘내세요!!!,sad
홀랭...ㅠㅠㅠㅠ 너무 심해여ㅠㅠㅠㅠㅠ 저희 만날때 썰 풀어주세어 대체 사장 누구여..!,angry
"[나의 트윗키워드]미야미즈,신사,안녕,,,마을,무녀,후후,찾아와주셔서,차녀로,배에,가지런히,있어요당신,갖다대고,허리,감사합니다저,손을,해요만,집에서,어디,일을,모아,있어,언니,숙여,17세이고이,인사한다 http://twtm.kr/twtKeyword ",happy
그리고 레오 궁은 다운 상태인 적도 기상무적 타이밍에 걸리지만 않으면 같이 쓸어담을 수 있어. 다만 모션 선딜이 긴 편이라 기상무적 안 걸리고 다운된 애한테 쓰긴 좀 힘들 거야.  궁은 꼭 누구 맞추겠다! 만 생각하지 말고 적진 휘저을 때나 적팀 위협 혹은 견제용으로 사용해도 좋아.,sad
아프지마.. 나 또 울어 https://twitter.com/pledisnews/status/1126023050321776640 …,sad
차이링하세요!!ㅎㅎㅎ 우리 모두 지금보다 성장해요...,happy
그건 또 그렇네... 내가 잘못했다... 과거의 실수를 기반으로 조금 더 성실한 사람이 되겠습니다...!! pic.twitter.com/z9LWhyjBs6,happy
"ㅠ 미안해, 나이르",sad
